drugbank_id,PubChemCID,smiles
DB11562,PubChemCID:10237,CN1CCC2=CC3=C(C=C2C1C4C5=C(C6=C(C=C5)OCO6)C(=O)O4)OCO3
DB03708,PubChemCID:10238,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OS(=O)(=O)O)O)O)N
DB13596,PubChemCID:10239,C1=CC=C(C=C1)C2=NC3=CC=CC=C3C(=C2O)C(=O)O
DB03205,PubChemCID:1024,C1=C(C2=C(C(=O)C(=O)C3=C2NC(=C3)C(=O)O)N=C1C(=O)O)C(=O)O
DB09014,PubChemCID:10240,CCCCSC1=CC=C(C=C1)C(C2=CC=CC=C2)SCCN(C)C
DBSALT000630,PubChemCID:102426,CC(CNC1CCCCC1)OC(=O)C2=CC=CC=C2.Cl
DB12112,PubChemCID:10245972,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CCOC(=O)C)C)C
DB13958,PubChemCID:10246085,CC1CC2=CC(=O)CCC2C3C1C4CCC(C4(CC3)C)OC(=O)C
DB08741,PubChemCID:10247560,COC1=C(C2=C(C=CC(O2)C3CC3)C(=C1)CC4=CN=C(N=C4N)N)OC
DBSALT001773,PubChemCID:102479,CC(C)CC(C(=O)O)N.Cl
DB08535,PubChemCID:10249180,C1=CC=C(C=C1)C2=NC3=C(C=NN3C(=C2)NCC4=CN=CC=C4)Br
DB08537,PubChemCID:10249182,C1=CC=C(C=C1)C2=CN3C(=CN=C3C(=C2)NCC4=CN=CN=C4)Br
DB08173,PubChemCID:10250490,C1=CC(=O)N(C=C1)C2=CC=C(C=C2)C(=O)NCCNC(=O)C3=CC=C(S3)Cl
DB13739,PubChemCID:10250769,CC(=O)OCOC(=O)C1C(SC2N1C(=O)C2NC(=O)CC3=CC=CC=C3)(C)C
DB14971,PubChemCID:10251042,CCOC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CC=C3I)C
DB12542,PubChemCID:10252640,CCN1C2=NC=C(C(=C2C=N1)NC3CCOCC3)C4=NN=C(O4)CC5=C(N=C(S5)C)C
